,SATID,satname,program,valid,area_1,area_2
46252,S48398,Starlink 2588,Starlink,1.0,0.56,25.2
46253,S48399,Starlink 2587,Starlink,1.0,0.56,25.2
46254,S48400,Starlink 2576,Starlink,1.0,0.56,25.2
46255,S48401,Starlink 2571,Starlink,1.0,0.56,25.2
46256,,,,0.0,,
46257,,,,0.0,,
46258,S48404,Starlink 2593,Starlink,1.0,0.56,25.2
46259,S48405,Starlink 2570,Starlink,1.0,0.56,25.2
46260,S48406,Starlink 2568,Starlink,1.0,0.56,25.2
46261,,,,0.0,,
46262,S48408,Starlink 2592,Starlink,1.0,0.56,25.2
46263,,,,0.0,,
46264,S48410,Starlink 2563,Starlink,1.0,0.56,25.2
46265,S48411,Starlink 2505,Starlink,1.0,0.56,25.2
46266,S48412,Starlink 2581,Starlink,1.0,0.56,25.2
46267,,,,0.0,,
46268,,,,0.0,,
46269,,,,0.0,,
46270,,,,0.0,,
46271,,,,0.0,,
46272,,,,0.0,,
46273,,,,0.0,,
46274,,,,0.0,,
46275,,,,0.0,,
46276,,,,0.0,,
46277,S48423,Yaogan 30 hao 08 zu 01 xing,CX-5,1.0,0.25,0.5
46278,S48424,Yaogan 30 hao 08 zu 02 xing,CX-5,1.0,0.25,0.5
46279,S48425,Yaogan 30 hao 08 zu 03 xing,CX-5,1.0,0.25,0.5
46280,S48426,Tianqi Xingzuo 1-12,Tianqi,1.0,0.15,0.15
46281,S48427,CZ-2C Y47 Stage 2,-,1.0,27.72,27.72
46282,S48428,Starlink 2461,Starlink,1.0,0.56,25.2
46283,,,,0.0,,
46284,,,,0.0,,
46285,S48431,Starlink 2700,Starlink,1.0,0.56,25.2
46286,S48432,Starlink 2680,Starlink,1.0,0.56,25.2
46287,S48433,Starlink 2699,Starlink,1.0,0.56,25.2
46288,S48434,Starlink 2692,Starlink,1.0,0.56,25.2
46289,S48435,Starlink 2633,Starlink,1.0,0.56,25.2
46290,S48436,Starlink 2639,Starlink,1.0,0.56,25.2
46291,,,,0.0,,
46292,S48438,Starlink 2640,Starlink,1.0,0.56,25.2
46293,S48439,Starlink 2583,Starlink,1.0,0.56,25.2
46294,S48440,Starlink 2682,Starlink,1.0,0.56,25.2
46295,S48441,Starlink 2702,Starlink,1.0,0.56,25.2
46296,S48442,Starlink 2644,Starlink,1.0,0.56,25.2
46297,S48443,Starlink 2663,Starlink,1.0,0.56,25.2
46298,S48444,Starlink 2645,Starlink,1.0,0.56,25.2
46299,S48445,Starlink 2634,Starlink,1.0,0.56,25.2
46300,,,,0.0,,
46301,,,,0.0,,
46302,,,,0.0,,
46303,S48449,Starlink 2655,Starlink,1.0,0.56,25.2
46304,,,,0.0,,
46305,,,,0.0,,
46306,S48452,Starlink 2703,Starlink,1.0,0.56,25.2
46307,S48453,Starlink 2620,Starlink,1.0,0.56,25.2
46308,S48454,Starlink 2654,Starlink,1.0,0.56,25.2
46309,S48455,Starlink 2497,Starlink,1.0,0.56,25.2
46310,,,,0.0,,
46311,,,,0.0,,
46312,S48458,Starlink 2698,Starlink,1.0,0.56,25.2
46313,S48459,Starlink 2579,Starlink,1.0,0.56,25.2
46314,S48460,Starlink 2582,Starlink,1.0,0.56,25.2
46315,,,,0.0,,
46316,S48462,Starlink 2683,Starlink,1.0,0.56,25.2
46317,,,,0.0,,
46318,,,,0.0,,
46319,,,,0.0,,
46320,,,,0.0,,
46321,,,,0.0,,
46322,,,,0.0,,
46323,,,,0.0,,
46324,S48470,Starlink 2675,Starlink,1.0,0.56,25.2
46325,,,,0.0,,
46326,S48472,Starlink 2722,Starlink,1.0,0.56,25.2
46327,,,,0.0,,
46328,,,,0.0,,
46329,,,,0.0,,
46330,,,,0.0,,
46331,,,,0.0,,
46332,,,,0.0,,
46333,S48479,Starlink 2755,Starlink,1.0,0.56,25.2
46334,,,,0.0,,
46335,S48481,Starlink 2706,Starlink,1.0,0.56,25.2
46336,S48482,Starlink 2525,Starlink,1.0,0.56,25.2
46337,S48483,Starlink 2531,Starlink,1.0,0.56,25.2
46338,,,,0.0,,
46339,S48485,Starlink 2500,Starlink,1.0,0.56,25.2
46340,,,,0.0,,
46341,S48487,Starlink 2494,Starlink,1.0,0.56,25.2
46342,,,,0.0,,
46343,,,,0.0,,
46344,,,,0.0,,
46345,,,,0.0,,
46346,,,,0.0,,
46347,,,,0.0,,
46348,,,,0.0,,
46349,,,,0.0,,
46350,,,,0.0,,
46351,,,,0.0,,
46352,,,,0.0,,
46353,,,,0.0,,
46354,,,,0.0,,
46355,,,,0.0,,
46356,,,,0.0,,
46357,,,,0.0,,
46358,,,,0.0,,
46359,,,,0.0,,
46360,,,,0.0,,
46361,,,,0.0,,
46362,,,,0.0,,
46363,,,,0.0,,
46364,,,,0.0,,
46365,,,,0.0,,
46366,,,,0.0,,
46367,,,,0.0,,
46368,,,,0.0,,
46369,,,,0.0,,
46370,,,,0.0,,
46371,,,,0.0,,
46372,,,,0.0,,
46373,,,,0.0,,
46374,,,,0.0,,
46375,,,,0.0,,
46376,,,,0.0,,
46377,,,,0.0,,
46378,,,,0.0,,
46379,,,,0.0,,
46380,,,,0.0,,
46381,,,,0.0,,
46382,,,,0.0,,
46383,,,,0.0,,
