,NORAD_ID,satname,area_1,area_2,valid,program
14437,S15945,SL-14 R/B,6.16,6.16,1.0,-
14438,S15946,RADUGA 16,13.75,23.75,1.0,Raduga
14439,S15947,SL-12 R/B(1),,,,
14440,S15948,SL-12 PLAT,,,,
14441,S15949,COSMOS 1673 DEB,,,,
14442,S15950,SCOUT G-1 DEB,,,,
14443,S15951,SCOUT G-1 DEB,,,,
14444,S15952,COSMOS 1675,8.0,10.0,1.0,Oko
14445,S15953,SL-6 R/B(1),,,,
14446,S15954,SL-6 PLAT,,,,
14447,S15955,SL-6 R/B(2),,,,
14448,S15956,SL-12 R/B(AUX MOTOR),,,,
14449,S15957,SL-12 R/B(AUX MOTOR),,,,
14450,S15958,SL-6 DEB,,,,
14451,S15959,COSMOS 1676,,,,
14452,S15960,SL-4 R/B,,,,
14453,S15961,COSMOS 1671 DEB,,,,
14454,S15962,COSMOS 1671 DEB,,,,
14455,S15963,SL-12 R/B(2),23.31,23.31,1.0,-
14456,S15964,COSMOS 1671 DEB,,,,
14457,S15965,COSMOS 1671 DEB,,,,
14458,S15966,COSMOS 1671 DEB,,,,
14459,S15968,M-3S2 R/B(1),,,,
14460,S15970,SALYUT 7 DEB,,,,
14461,S15971,COSMOS 1672 DEB,,,,
14462,S15972,COSMOS 1672 DEB,,,,
14463,S15973,COSMOS 1672 DEB,,,,
14464,S15974,COSMOS 1672 DEB,,,,
14465,S15975,COSMOS 1672 DEB,,,,
14466,S15976,COSMOS 1672 DEB,,,,
14467,S15977,MOLNIYA 1-64,,,,
14468,S15978,SL-6 R/B(1),,,,
14469,S15979,SL-6 PLAT,,,,
14470,S15980,COSMOS 1601 DEB,,,,
14471,S15981,COSMOS 1601 DEB,,,,
14472,S15982,COSMOS 1601 DEB,,,,
14473,S15983,SL-6 R/B(2),,,,
14474,S15984,COSMOS 1601 DEB,,,,
14475,S15985,COSMOS 1601 DEB,,,,
14476,S15986,COSMOS 1677,7.54,7.54,1.0,US-A
14477,S15987,COSMOS 1601 DEB,,,,
14478,S15988,COSMOS 1601 DEB,,,,
14479,S15989,COSMOS 1601 DEB,,,,
14480,S15990,COSMOS 1601 DEB,,,,
14481,S15991,COSMOS 1601 DEB,,,,
14482,S15992,STS 51I,,,,
14483,S15993,OPTUS A1 (AUSSAT 1),14.52,14.52,1.0,Aussat
14484,S15994,ASC 1,2.08,18.46,1.0,ASC
14485,S15995,LEASAT 4,17.2,26.66,1.0,Leasat
14486,S15996,OPTUS A1 R/B(PAM-D),2.76,2.76,1.0,-
14487,S15997,COSMOS 1678,,,,
14488,S15998,SL-4 R/B,,,,
14489,S15999,COSMOS 1679,,,,
14490,S16000,SL-4 R/B,,,,
14491,S16001,LEASAT 4 PKM,3.5,3.5,1.0,-
14492,S16002,SL-4 DEB,,,,
14493,S16003,COSMOS 1601 DEB,,,,
14494,S16004,COSMOS 1601 DEB,,,,
14495,S16005,COSMOS 1601 DEB,,,,
14496,S16006,COSMOS 1601 DEB,,,,
14497,S16007,ASC 1 R/B(PAM-D),2.76,2.76,1.0,-
14498,S16008,COSMOS 1662 DEB,,,,
14499,S16009,COSMOS 1662 DEB,,,,
14500,S16010,COSMOS 1662 DEB,,,,
14501,S16011,COSMOS 1680,6.0,6.0,1.0,Strela-2M
14502,S16012,SL-8 R/B,10.08,10.08,1.0,-
14503,S16013,STS 51I DEB SCREWDRIVER,,,,
14504,S16014,COSMOS 1662 DEB,,,,
14505,S16015,COSMOS 1662 DEB,,,,
14506,S16016,COSMOS 1662 DEB,,,,
14507,S16017,COSMOS 1662 DEB,,,,
14508,S16018,COSMOS 1681,,,,
14509,S16019,SL-4 R/B,,,,
14510,S16020,SCOUT G-1 DEB,,,,
14511,S16021,COSMOS 1678 DEB,,,,
14512,S16022,COSMOS 1678 DEB,,,,
14513,S16023,COSMOS 1678 DEB,,,,
14514,S16024,COSMOS 1678 DEB,,,,
14515,S16025,COSMOS 1678 DEB,,,,
14516,S16026,COSMOS 1678 DEB,,,,
14517,S16027,SOLWIND DEB,,,,
14518,S16028,SOLWIND DEB,,,,
14519,S16029,SOLWIND DEB,,,,
